product_code,name,pack_size,unit_purchase_price,unit_sale_price,pack_purchase_price,pack_sale_price,avg_price,margin,quantity,category,brand,supplier,barcode,narcotic,max_discount,formulation,description,rack
PRD-00016,"Diltizem 60 Mg Tab",20,0,6.2,0,124,0,100,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000016,no,,,,
PRD-00017,"Flugal 150mg Cap",1,148.4,180,148.4,180,148.4,17.56,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000017,no,,,,
PRD-00018,"Flugal 50mg Cap",7,54.06,63.6,378.42,445.2,54.06,15,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000018,no,,,,
PRD-00019,"Flugal Susp 35ml",1,170,200,170,200,170,15,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000019,no,,,,
PRD-00020,"Neotack 150mg Tab",10,4.5,5,45,50,4.5,10,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000020,no,,,,
PRD-00021,"Neotack 2ml Inj",10,12.24,14.84,122.4,148.4,12.24,17.52,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000021,no,,,,
PRD-00022,"Neotack 300mg Tab",10,11.03,13,110.3,130,11.03,15.15,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000022,no,,,,
PRD-00023,"Prolert Cap",20,10.6,13,212,260,10.6,18.46,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000023,no,,,,
PRD-00024,"Rutix 200mg Tab",10,9.5,10,95,100,9.5,5,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000024,no,,,,
PRD-00025,"Steri Strip 12mmx100mm R1547",1,56.43,70,56.43,70,56.43,19.39,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000025,no,,,,
PRD-00026,"Steri Strip 6mmx100mm R1546",1,56.43,70,56.43,70,56.43,19.39,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000026,no,,,,
PRD-00027,"Steri Strip 6mmx38mm R1542",1,26.5,35,26.5,35,26.5,24.29,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000027,no,,,,
PRD-00028,"Syntec 20mg Tab",10,6.63,7.8,66.3,78,6.63,15,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000028,no,,,,
PRD-00029,"Verticil 125mg Tab",10,26.605,31.3,266.05,313,26.605,15,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000029,no,,,,
PRD-00030,"Zimax Susp 15ml",1,162,180,162,180,162,10,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000030,no,,,,
PRD-00031,"Hair Con Serum 100ml",1,705.5,830,705.5,830,705.5,15,0,Medicines,"3M USA","Open Purchase",PD00000031,no,,,,
PRD-00032,"Hair Con Shampoo 100ml",1,578,680,578,680,578,15,0,Medicines,"3M USA","Open Purchase",PD00000032,no,,,,
PRD-00033,"Loratine 10mg Tab",10,10.455,12.3,104.55,123,10.455,15,0,Medicines,"3M USA","Open Purchase",PD00000033,no,,,,
PRD-00034,"Micropore Sugical Tape 1~",1,0,20,0,20,0,100,0,Medicines,"3M USA","Open Purchase",PD00000034,no,,,,
PRD-00035,"Micropore Surgical Tape 2~",1,29.16,40,29.16,40,29.16,27.1,0,Medicines,"3M USA","Open Purchase",PD00000035,no,,,,
PRD-00036,"Tanspore Surgical Tape 1~",10,20.3,25,203,250,20.3,18.8,0,Medicines,"3M USA","Open Purchase",PD00000036,no,,,,
PRD-00037,"Transpor 3in",1,137.5,158,137.5,158,137.5,12.97,0,Medicines,"3M USA","Open Purchase",PD00000037,no,,,,
PRD-00038,"Transpore 1"" (10yds)",12,50.63916667,66,607.67,792,50.63916667,23.27,0,Medicines,"3M USA","Open Purchase",PD00000038,no,,,,
PRD-00039,"Transpore 2"" Tape",1,65,74,65,74,65,12.16,0,Medicines,"3M USA",Surgical,PD00000039,no,,,,
PRD-00040,"Transpore 2in*10yd",1,93.9,110,93.9,110,93.9,14.64,0,Medicines,"3M USA","Open Purchase",PD00000040,no,,,,
PRD-00041,"Transpore Homecare 12.5mm X 4.5m",24,0.895833333,1.25,21.5,30,0.895833333,28.33,0,Medicines,"3M USA","Open Purchase",PD00000041,no,,,,
PRD-00042,"Venous Cannula 2st Sarns 36*51",1,2000,2200,2000,2200,2000,9.09,0,Medicines,"3M USA","Open Purchase",PD00000042,no,,,,
PRD-00043,"Daikin 75mg Tab",20,3.825,4.5,76.5,90,3.825,15,0,Medicines,"3S PHARMACEUTICALS(PVT) LTD.","Open Purchase",PD00000043,no,,,,
PRD-00044,"Leogen 500mg Tab",10,22.1,26,221,260,22.1,15,0,Medicines,"3S PHARMACEUTICALS(PVT) LTD.","Open Purchase",PD00000044,no,,,,
PRD-00045,"Leogen Tab 250mg",10,12.75,15,127.5,150,12.75,15,0,Medicines,"3S PHARMACEUTICALS(PVT) LTD.","Open Purchase",PD00000045,no,,,,
PRD-00046,"Medifen Sr Tab",30,5.666666667,6.67,170,200,5.666666667,15.04,0,Medicines,"3S PHARMACEUTICALS(PVT) LTD.","Open Purchase",PD00000046,no,,,,
PRD-00047,"Sipo 250mg Tab",10,11.05,13,110.5,130,11.05,15,0,Medicines,"3S PHARMACEUTICALS(PVT) LTD.","Open Purchase",PD00000047,no,,,,
PRD-00048,"Airows 10mg Tab",14,16.39285714,19.29,229.5,270,16.39285714,15.02,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000048,no,,,,
PRD-00049,"Aristin C 250mg Tab",10,18.9,21,189,210,18.9,10,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000049,no,,,,
PRD-00050,"Aristin C 500mg Tab",10,34.2,38,342,380,34.2,10,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000050,no,,,,
PRD-00051,"Bectazim 400mg Cap",5,55.25,65,276.25,325,55.25,15,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000051,no,,,,
PRD-00052,"Bonefos 400mg Cap",30,83.215,97.9,2496.45,2937,83.215,15,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000052,no,,,,
PRD-00053,"Bonefos 60mg Ing",5,1122,1320,5610,6600,1122,15,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000053,no,,,,
PRD-00054,"Cystrin 3mg",100,11.52,12.8,1152,1280,11.52,10,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000054,no,,,,
PRD-00055,"Dobuject 250mg Ing",5,260.19,295,1300.95,1475,260.19,11.8,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000055,no,,,,
PRD-00056,"Frostat 40mg Tab",20,8.5,10,170,200,8.5,15,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000056,no,,,,
PRD-00057,"Frostat 80mg Tab",20,12.325,14.5,246.5,290,12.325,15,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000057,no,,,,
PRD-00058,"Isoday 40mg Cap",100,5.103,6.04,510.3,604,5.103,15.51,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000058,no,,,,
PRD-00059,"Lucast 4mg Tab 14,s",14,10.2,12,142.8,168,10.2,15,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000059,no,,,,
PRD-00060,"Neo Endusix 20mg Ing",1,40.5,45,40.5,45,40.5,10,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000060,no,,,,
PRD-00061,"Neo Endusix 20mg Tab",30,10.59,11.77,317.7,353,10.59,10.03,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000061,no,,,,
PRD-00062,"Nitroanl 50ml Vail",1,0,385,0,385,0,100,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000062,no,,,,
PRD-00063,"Nitronal 50ml Vail",1,283,385,283,385,283,26.49,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000063,no,,,,
PRD-00064,"Nitronal 5mg Ampoule",10,50,68.5,500,685,50,27.01,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000064,no,,,,
PRD-00065,"Nortenalol 100mg Tab",28,0,6,0,168,0,100,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000065,no,,,,
PRD-00066,"Nortenalol 50mg Tab",28,0,3.5,0,98,0,100,0,Medicines,"A.J & COMPANY","Open Purchase",PD00000066,no,,,,
PRD-00067,"Cefzo 1gm Inj",1,118.37,139.26,118.37,139.26,118.37,15,0,Medicines,A.R.PHARMACEUTICALS,"Open Purchase",PD00000067,no,,,,
PRD-00068,"Cefzo 500mg Inj",1,62.37,73.63,62.37,73.63,62.37,15.29,0,Medicines,A.R.PHARMACEUTICALS,"Open Purchase",PD00000068,no,,,,
PRD-00069,"Supraflox 250mg Tab",10,8.5,10,85,100,8.5,15,0,Medicines,A.R.PHARMACEUTICALS,"Open Purchase",PD00000069,no,,,,
PRD-00070,"Ensure Choclate 400gm",1,2062.33,2250,2062.33,2250,2062.33,8.34,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000070,no,,,,
PRD-00071,"Ensure Choclate 850gm",1,4022.47,4300,4022.47,4300,4022.47,6.45,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000071,no,,,,
PRD-00072,"Ensure Nutrivigor 400gm",1,1944,2123,1944,2123,1944,8.43,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000072,no,,,,
PRD-00073,"Ensure Plus 250ml Liq",1,255.76,278.8,255.76,278.8,255.76,8.26,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000073,no,,,,
PRD-00074,"Ensure Strawberry 400gm",1,1738,1896,1738,1896,1738,8.33,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000074,no,,,,
PRD-00075,"Ensure Strawberry 850gm",1,2111,2350,2111,2350,2111,10.17,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000075,no,,,,
PRD-00076,"Ensure Sugar Free 400gm",1,1373.42,1520,1373.42,1520,1373.42,9.64,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000076,no,,,,
PRD-00077,"Ensure Vanila 400gm",1,2520.5,2750,2520.5,2750,2520.5,8.35,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000077,no,,,,
PRD-00078,"Ensure Vanila 850gm",1,3941,4300,3941,4300,3941,8.35,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000078,no,,,,
PRD-00079,"Glucerna Liquid",1,255.76,278.8,255.76,278.8,255.76,8.26,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000079,no,,,,
PRD-00080,"Glucerna Powder (choc) 400gm",1,2330.24,2542,2330.24,2542,2330.24,8.33,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000080,no,,,,
PRD-00081,"Glucerna Powder (vanila) 400gm",1,3051,3300,3051,3300,3051,7.55,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000081,no,,,,
PRD-00082,"Pediasure Chocalte 400gm",1,2237.5,2420,2237.5,2420,2237.5,7.54,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000082,no,,,,
PRD-00083,"Pediasure Choclate 850gm",1,4894,5340,4894,5340,4894,8.35,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000083,no,,,,
PRD-00084,"Pediasure Strawberry 400gm",1,2237.5,2420,2237.5,2420,2237.5,7.54,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000084,no,,,,
PRD-00085,"Pediasure Strawberry 850gm",1,3272.5,4510,3272.5,4510,3272.5,27.44,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000085,no,,,,
PRD-00086,"Pediasure Vanila (soft Pack) 200gm",1,1118.5,1220,1118.5,1220,1118.5,8.32,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000086,no,,,,
PRD-00087,"Pediasure Vanila 400gm",1,2237.5,2420,2237.5,2420,2237.5,7.54,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000087,no,,,,
PRD-00088,"Pediasure Vanila 850gm",1,4194.75,4515,4194.75,4515,4194.75,7.09,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000088,no,,,,
PRD-00089,"Similac 1 400g Powder",1,957,1029,957,1029,957,7,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000089,no,,,,
PRD-00090,"Similac 2 400g Powder",1,1255,1360,1255,1360,1255,7.72,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000090,no,,,,
PRD-00091,"Similac 3 Gain 400g Powder",1,957,1100,957,1100,957,13,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000091,no,,,,
PRD-00092,"Similac Isomil 400g Milk Powder",1,1964.5,2100,1964.5,2100,1964.5,6.45,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000092,no,,,,
PRD-00093,"Similac Mom 400g Powder",1,782,850,782,850,782,8,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000093,no,,,,
PRD-00094,"Similac Total Comfort 1 360g",1,2071,2250,2071,2250,2071,7.96,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000094,no,,,,
PRD-00095,"Similac Total Comfort 2 360gm",1,1695.5,1820,1695.5,1820,1695.5,6.84,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000095,no,,,,
PRD-00096,"Similac Total Comfort 3 360gm",1,2050.83,2250,2050.83,2250,2050.83,8.85,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000096,no,,,,
PRD-00097,"Similac With Iron 450g Pow",1,370,400,370,400,370,7.5,0,Medicines,"ABBOTT (MILK)","SAMEEL DISTRIBUTOR",PD00000097,no,,,,
PRD-00098,"Abbocin 20mg Inj",1,78.53,92.47,78.53,92.47,78.53,15.08,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000098,no,,,,
PRD-00099,"Abbocin 80mg Inj",1,145.85,171.66,145.85,171.66,145.85,15.04,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000099,no,,,,
PRD-00100,"Abbutol 400mg",100,1.4236,1.73,142.36,172.53,1.4236,17.71,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000100,no,,,,
PRD-00101,"Abocain 0.5% 10ml(bupivacaine)",5,18.062,22.1,90.31,110.51,18.062,18.27,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000101,no,,,,
PRD-00102,"Abocain 0.5% 20ml(bupivacaine)",5,36.124,42.5,180.62,212.5,36.124,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000102,no,,,,
PRD-00103,"Abocain Spinal Inj",5,44.73,52.62,223.65,263.12,44.73,14.99,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000103,no,,,,
PRD-00104,"Abocal Tab 10,s",1,220.75,259.77,220.75,259.77,220.75,15.02,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000104,no,,,,
PRD-00105,"Abocran Sachet(abbott)",10,42.233,49.69,422.33,496.86,42.233,15.01,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000105,no,,,,
PRD-00106,"Abodine Gargle/mouth Wash 60ml",1,13,15.29,13,15.29,13,14.98,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000106,no,,,,
PRD-00107,"Abodine Scrub",1,28.05,33,28.05,33,28.05,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000107,no,,,,
PRD-00108,"Abozole 100ml Inj",1,44,59.99,44,59.99,44,26.65,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000108,no,,,,
PRD-00109,"Abozole 400mg Tab",100,1.1645,1.37,116.45,136.98,1.1645,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000109,no,,,,
PRD-00110,"Abrifam (rifampicin) 450mg",100,4.58,6.27,458,626.89,4.58,26.95,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000110,no,,,,
PRD-00111,"Abrifam (rifampicin) 600mg",100,6.4893,8.38,648.93,837.5,6.4893,22.56,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000111,no,,,,
PRD-00112,"Arinac 120ml Susp",1,100.19,117.88,100.19,117.88,100.19,15.01,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000112,no,,,,
PRD-00113,"Arinac Forte Tab",100,9.0417,10.64,904.17,1063.74,9.0417,15.02,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000113,no,,,,
PRD-00114,"Arinac Plain Tab",100,4.6675,5.49,466.75,549.12,4.6675,14.98,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000114,no,,,,
PRD-00115,"Artifen 20g Gel",1,67.44,79.34,67.44,79.34,67.44,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000115,no,,,,
PRD-00116,"Artifen 3ml Inj",5,23.284,27.39,116.42,136.97,23.284,14.99,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000116,no,,,,
PRD-00117,"Artifen 50mg Tab",100,6.5507,7.71,655.07,770.68,6.5507,15.04,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000117,no,,,,
PRD-00118,"Atrelax 25mg Ing",5,78,103.38,390,516.88,78,24.55,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000118,no,,,,
PRD-00119,"Atrelax 50mg Ing",5,164.656,193.71,823.28,968.57,164.656,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000119,no,,,,
PRD-00120,"Becefol Tab(25's)",1,186.15,219,186.15,219,186.15,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000120,no,,,,
PRD-00121,"Becefol Tab(60s)",60,2.21,2.6,132.6,156,2.21,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000121,no,,,,
PRD-00122,"Bejectal Im/iv 1ml Inj",10,3.93,4.82,39.3,48.17,3.93,18.46,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000122,no,,,,
PRD-00123,"Bejectal Iv Pack 10ml",1,27.2,32,27.2,32,27.2,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000123,no,,,,
PRD-00124,"Bejectal T Im/iv 1ml Inj",10,4.395,5.17,43.95,51.7,4.395,14.99,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000124,no,,,,
PRD-00125,"Bejectal T Iv Pack 10ml",1,68.9,81.06,68.9,81.06,68.9,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000125,no,,,,
PRD-00126,"Bevidox 3ml Inj",25,10.2,12,255,300,10.2,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000126,no,,,,
PRD-00127,"Bevidox Tab 60,s",1,207.58,244.21,207.58,244.21,207.58,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000127,no,,,,
PRD-00128,"Body Fuel Powder",1,414,460,414,460,414,10,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000128,no,,,,
PRD-00129,"Bremax 1mg Tab 100,s",100,1.413,1.66,141.3,166.23,1.413,14.88,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000129,no,,,,
PRD-00130,"Bremax 2mg Tab",100,2.4484,2.88,244.84,288.05,2.4484,14.99,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000130,no,,,,
PRD-00131,"Bremax 60ml Syp",1,28.8,33.88,28.8,33.88,28.8,14.99,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000131,no,,,,
PRD-00132,"Brufen  Plus  Tab 20,s",20,5.628,6.62,112.56,132.42,5.628,14.98,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000132,no,,,,
PRD-00133,"Brufen 200mg Tab",100,3.3723,3.97,337.23,396.74,3.3723,15.06,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000133,no,,,,
PRD-00134,"Brufen 400mg Tab",250,2.57404,3.03,643.51,757.07,2.57404,15.05,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000134,no,,,,
PRD-00135,"Brufen 600mg Tab",36,2.586388889,3.04,93.11,109.54,2.586388889,14.92,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000135,no,,,,
PRD-00136,"Brufen Cream 30gm",1,86.44,101.69,86.44,101.69,86.44,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000136,no,,,,
PRD-00137,"Brufen Retard Tab",12,10.66333333,12.55,127.96,150.54,10.66333333,15.03,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000137,no,,,,
PRD-00138,"Brufen Susp Ds 90ml",1,90.94,106.99,90.94,106.99,90.94,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000138,no,,,,
PRD-00139,"Brufen Susp Plain 120ml",1,99.45,117,99.45,117,99.45,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000139,no,,,,
PRD-00140,"Bupivacaine Hci 0.5% 20ml",5,36.124,42.5,180.62,212.5,36.124,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000140,no,,,,
PRD-00141,"Burnol 30g Cream",1,25.32,29.79,25.32,29.79,25.32,15.01,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000141,no,,,,
PRD-00142,"Calcard 60mg Tab",100,4.5,6.88,450,688.1,4.5,34.59,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000142,no,,,,
PRD-00143,"Cansaar 16mg Tab 28,s",28,23.76214286,27.96,665.34,782.75,23.76214286,15.01,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000143,no,,,,
PRD-00144,"Cansaar 32mg Tab 14,s",14,22.34071429,26.28,312.77,367.96,22.34071429,14.99,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000144,no,,,,
PRD-00145,"Cansaar 8mg Tab 14,s",14,13.37857143,15.74,187.3,220.34,13.37857143,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000145,no,,,,
PRD-00146,"Cecon 500mg Tab (40,s)",1,153.1,180.12,153.1,180.12,153.1,15,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000146,no,,,,
PRD-00147,"Cecon Drops 10ml",1,31.37,37.33,31.37,37.33,31.37,15.97,0,Medicines,"ABBOTT LABORATORIES (PAK) LTD","SAMEEL DISTRIBUTOR",PD00000147,no,,,,
