id,product_code,name,brand_id,unit_sale_price,category_id,supplier_id,pack_purchase_price,pack_sale_price,pack_size,unit_purchase_price,narcotics,barcode
243,PRD-00243,"Moksi 400mg Tab 5,s",8,129.61,1,3,550.86,648.07,5,110.172,0,PD00000243
244,PRD-00244,Mospel 45ml Cream,8,353,1,3,269.24,353,1,269.24,0,PD00000244
245,PRD-00245,Mospel Baby Lotion 45ml,8,85,1,3,75,85,1,75,0,PD00000245
246,PRD-00246,Mospel Lotion 45ml,8,302.56,1,3,250.53,302.56,1,250.53,0,PD00000246
247,PRD-00247,Mospel Rapid 400ml Spray,8,300,1,3,274.62,300,1,274.62,0,PD00000247
248,PRD-00248,"Mucolator 200mg Sachets 30,s",8,20.58,1,3,524.91,617.54,30,17.497,0,PD00000248
249,PRD-00249,Murine Clear Eyes 15ml,8,35.42,1,3,30.11,35.42,1,30.11,0,PD00000249
250,PRD-00250,Murine Plus Eye Drops 15ml,8,36.84,1,3,31.32,36.84,1,31.32,0,PD00000250
251,PRD-00251,Neophage 500mg Tab,8,1.71,1,3,72.55,85.35,50,1.451,0,PD00000251
252,PRD-00252,Neophage 850mg Tab,8,3.08,1,3,78.57,92.44,30,2.619,0,PD00000252
253,PRD-00253,Nepro 8fl Oz,8,139,1,3,127.88,139,1,127.88,0,PD00000253
254,PRD-00254,Nicor 120ml Syp,8,69,1,3,58.65,69,1,58.65,0,PD00000254
255,PRD-00255,"Optilets M Tab 30,s",8,146.15,1,3,124.23,146.15,1,124.23,0,PD00000255
256,PRD-00256,Optium Free Styl(100's),8,26,1,3,2000,2600,100,20,0,PD00000256
257,PRD-00257,Optium Omega Strips(25s),8,550,1,3,450,550,1,450,0,PD00000257
258,PRD-00258,Optium Xceed Meter,8,1500,1,3,1150,1500,1,1150,0,PD00000258
259,PRD-00259,Osmolite 500ml,8,215,1,3,197.8,215,1,197.8,0,PD00000259
260,PRD-00260,Pedialyte 500ml(ors-abbott),8,55,1,3,46.75,55,1,46.75,0,PD00000260
261,PRD-00261,Pediazole 60ml Syp,8,53.76,1,3,43.85,53.76,1,43.85,0,PD00000261
